Dataset age-sex (deaths)
country,date,age_group,age_begin,age_end,deathsF,deathsM,populationin1000sF,populationin1000sM
Panama,7/27/2020,60-64,60,64,44,98,82,78
Panama,7/27/2020,65-69,65,69,62,116,64,59
Panama,7/27/2020,70-74,70,74,66,127,48,43
Panama,7/27/2020,75-79,75,79,47,102,36,31
Panama,7/27/2020,80,80,999,141,206,49,38
Peru,6/11/2022,0-9,0,9,385,483,2686,2759
Peru,6/11/2022,10-19,10,19,366,368,2627,2507
Peru,6/11/2022,20-29,20,29,998,1544,2805,2570
Peru,6/11/2022,30-39,30,39,2443,4783,2549,2682
Peru,6/11/2022,40-49,40,49,5512,12260,2118,2228
Peru,6/11/2022,50-59,50,59,11658,23693,1656,1658
Peru,6/11/2022,60-69,60,69,19340,33843,1158,1119
Peru,6/11/2022,70-79,70,79,19031,31857,659,597
Peru,6/11/2022,80,80,999,18381,26379,334,258
Philippines,6/4/2022,0-4,0,4,278,398,5166,5451
Philippines,6/4/2022,5-9,5,9,89,102,5552,5846
Philippines,6/4/2022,10-14,10,14,141,164,5329,5578
Philippines,6/4/2022,15-19,15,19,261,319,5055,5408
Philippines,6/4/2022,20-24,20,24,458,589,4913,5192
Philippines,6/4/2022,25-29,25,29,643,753,4672,4808
Philippines,6/4/2022,30-34,30,34,757,1036,4080,4167
Philippines,6/4/2022,35-39,35,39,1013,1458,3610,3645
Philippines,6/4/2022,40-44,40,44,1321,2044,3255,3297
Philippines,6/4/2022,45-49,45,49,52,68,2876,2884
Philippines,6/4/2022,50-54,50,54,2016,2887,2578,2539
Philippines,6/4/2022,55-59,55,59,2652,3656,2174,2076
Philippines,6/4/2022,60-64,60,64,3097,4303,1778,1615
Philippines,6/4/2022,65-69,65,69,3450,4575,1349,1137
Philippines,6/4/2022,70-74,70,74,3343,4244,952,710
Philippines,6/4/2022,75-79,75,79,2689,2934,597,381
Philippines,6/4/2022,80,80,999,4805,3841,617,297
Poland,3/14/2022,0-4,0,4,3,4,918,967
Poland,3/14/2022,5-9,5,9,2,0,926,974
Poland,3/14/2022,10-14,10,14,0,4,963,1011
Poland,3/14/2022,15-19,15,19,3,5,853,882
Poland,3/14/2022,20-24,20,24,7,8,971,995
Poland,3/14/2022,25-29,25,29,19,0,1202,1264
Poland,3/14/2022,30-39,30,39,72,122,2888,3117
Poland,3/14/2022,40-49,40,49,161,345,2741,2794
Poland,3/14/2022,50-59,50,59,444,876,2324,2239
Poland,3/14/2022,60-64,60,64,544,1129,1445,1280
Poland,3/14/2022,65-69,65,69,974,1775,1354,1095
Poland,3/14/2022,70-74,70,74,1349,2057,1076,780
Poland,3/14/2022,75-79,75,79,1321,1772,645,400
Poland,3/14/2022,80,80,999,4841,4129,1202,541
Portugal,3/21/2022,0-4,0,4,2,2,194,206
Portugal,3/21/2022,5-9,5,9,0,0,214,227
Portugal,3/21/2022,10-14,10,14,0,0,240,250
Portugal,3/21/2022,15-19,15,19,3,1,257,268
Portugal,3/21/2022,20-24,20,24,0,0,270,270
Portugal,3/21/2022,25-29,25,29,6,0,271,263
Portugal,3/21/2022,30-39,30,39,23,33,624,591
Portugal,3/21/2022,40-49,40,49,88,143,816,760
Portugal,3/21/2022,50-59,50,59,193,457,780,701
Portugal,3/21/2022,60-64,60,64,247,501,360,313
Portugal,3/21/2022,65-69,65,69,376,868,337,284
Portugal,3/21/2022,70-74,70,74,654,1207,314,253
Portugal,3/21/2022,75-79,75,79,1132,1729,260,191
Portugal,3/21/2022,80,80,999,7689,6560,436,247
Qatar,2/7/2022,0-4,0,4,0,0,66,69
Qatar,2/7/2022,5-9,5,9,0,0,66,70
Qatar,2/7/2022,10-14,10,14,1,0,59,63
Qatar,2/7/2022,15-19,15,19,0,0,48,58
Qatar,2/7/2022,20-24,20,24,0,2,48,189
Qatar,2/7/2022,25-29,25,29,1,1,73,407
Qatar,2/7/2022,30-34,30,34,1,7,94,401
Qatar,2/7/2022,35-39,35,39,3,7,87,264
Qatar,2/7/2022,40-44,40,44,2,22,58,197
Qatar,2/7/2022,45-49,45,49,1,21,42,165
Qatar,2/7/2022,50-54,50,54,6,31,31,125
Qatar,2/7/2022,55-59,55,59,8,30,19,79
Qatar,2/7/2022,60-64,60,64,5,41,11,43
Qatar,2/7/2022,65-69,65,69,10,21,6,22
Qatar,2/7/2022,70-74,70,74,4,23,4,9
Qatar,2/7/2022,75-79,75,79,14,14,2,2
Qatar,2/7/2022,80,80,999,19,38,2,2
Republic of Ireland,3/7/2022,0-4,0,4,1,0,152,162
Republic of Ireland,3/7/2022,5-9,5,9,0,0,174,184
Republic of Ireland,3/7/2022,10-14,10,14,0,1,175,182
Republic of Ireland,3/7/2022,15-19,15,19,4,2,153,159
Republic of Ireland,3/7/2022,20-24,20,24,0,0,143,147
Republic of Ireland,3/7/2022,25-29,25,29,2,0,136,141
Republic of Ireland,3/7/2022,30-39,30,39,15,16,354,342
Republic of Ireland,3/7/2022,40-49,40,49,33,51,389,375
Republic of Ireland,3/7/2022,50-59,50,59,76,148,302,299
Republic of Ireland,3/7/2022,60-64,60,64,84,148,127,123
Republic of Ireland,3/7/2022,65-69,65,69,138,241,118,113
Republic of Ireland,3/7/2022,70-74,70,74,223,378,101,96
Republic of Ireland,3/7/2022,75-79,75,79,341,495,70,64
Republic of Ireland,3/7/2022,80,80,999,1789,1634,92,66
Romania,1/31/2022,0-4,0,4,3,5,457,483
Romania,1/31/2022,5-9,5,9,1,0,469,496
Romania,1/31/2022,10-14,10,14,1,1,525,555
Romania,1/31/2022,15-19,15,19,11,8,483,511
Romania,1/31/2022,20-24,20,24,32,24,487,523
Romania,1/31/2022,25-29,25,29,35,0,514,563
Romania,1/31/2022,30-39,30,39,199,292,1243,1342
Romania,1/31/2022,40-49,40,49,648,1281,1490,1536
Romania,1/31/2022,50-59,50,59,1738,2579,1302,1267
Romania,1/31/2022,60-64,60,64,2078,2597,694,596
Romania,1/31/2022,65-69,65,69,3190,3987,698,548
Romania,1/31/2022,70-74,70,74,3798,4688,542,386
Romania,1/31/2022,75-79,75,79,3647,3852,371,232
Romania,1/31/2022,80,80,999,6944,6439,608,315
Saint Kitts and Nevis,3/28/2022,0-4,0,4,0,0,,
Saint Kitts and Nevis,3/28/2022,5-9,5,9,0,0,,
Saint Kitts and Nevis,3/28/2022,10-14,10,14,0,0,,
Saint Kitts and Nevis,3/28/2022,15-19,15,19,0,0,,
Saint Kitts and Nevis,3/28/2022,20-24,20,24,0,0,,
Saint Kitts and Nevis,3/28/2022,25-29,25,29,0,1,,
Saint Kitts and Nevis,3/28/2022,30-34,30,34,0,1,,
Saint Kitts and Nevis,3/28/2022,35-39,35,39,0,0,,
Saint Kitts and Nevis,3/28/2022,40-44,40,44,1,0,,
Saint Kitts and Nevis,3/28/2022,45-49,45,49,1,1,,
Saint Kitts and Nevis,3/28/2022,50-54,50,54,1,1,,
Saint Kitts and Nevis,3/28/2022,55-59,55,59,1,1,,
Saint Kitts and Nevis,3/28/2022,60-64,60,64,2,1,,
Saint Kitts and Nevis,3/28/2022,65-69,65,69,1,3,,
Saint Kitts and Nevis,3/28/2022,70-74,70,74,3,6,,
Saint Kitts and Nevis,3/28/2022,75-79,75,79,1,3,,
Saint Kitts and Nevis,3/28/2022,80,80,999,7,6,,
Scotland,6/12/2022,0-1,0,1,2,0,48,51
Scotland,6/12/2022,1-14,1,14,2,2,395,416
Scotland,6/12/2022,15-44,15,44,80,104,1029,1026
Scotland,6/12/2022,45-64,45,64,633,1031,772,723
Scotland,6/12/2022,65-74,65,74,1030,1530,306,145
Scotland,6/12/2022,75-84,75,84,2100,2597,192,149
Scotland,6/12/2022,85,85,999,3312,2435,82,46
Singapore,9/27/2021,0-4,0,4,0,0,124,134
Singapore,9/27/2021,5-9,5,9,0,0,107,114
Singapore,9/27/2021,10-14,10,14,0,0,118,123
Singapore,9/27/2021,15-19,15,19,0,0,128,137
Singapore,9/27/2021,20-29,20,29,0,0,375,458
Singapore,9/27/2021,30-39,30,39,0,1,428,468
Singapore,9/27/2021,40-49,40,49,0,2,460,505
Singapore,9/27/2021,50-59,50,59,1,1,438,509
Singapore,9/27/2021,60-64,60,64,0,6,205,239
Singapore,9/27/2021,65-69,65,69,2,7,166,189
Singapore,9/27/2021,70-74,70,74,5,8,100,90
Singapore,9/27/2021,75-79,75,79,1,6,55,44
Singapore,9/27/2021,80,80,999,20,22,83,52
Sint Maarten,3/14/2022,0-4,0,4,0,0,,
Sint Maarten,3/14/2022,5-9,5,9,0,0,,
Sint Maarten,3/14/2022,10-14,10,14,0,0,,
Sint Maarten,3/14/2022,15-19,15,19,0,0,,
Sint Maarten,3/14/2022,20-24,20,24,0,0,,
Sint Maarten,3/14/2022,25-29,25,29,0,0,,
Sint Maarten,3/14/2022,30-34,30,34,0,0,,
Sint Maarten,3/14/2022,35-39,35,39,0,0,,
Sint Maarten,3/14/2022,40-44,40,44,0,0,,
Sint Maarten,3/14/2022,45-49,45,49,0,3,,
Sint Maarten,3/14/2022,50-54,50,54,3,5,,
Sint Maarten,3/14/2022,55-59,55,59,2,6,,
Sint Maarten,3/14/2022,60-64,60,64,4,8,,
Sint Maarten,3/14/2022,65-69,65,69,6,6,,
Sint Maarten,3/14/2022,70-74,70,74,3,6,,
Sint Maarten,3/14/2022,75-79,75,79,3,2,,
Sint Maarten,3/14/2022,80,80,999,8,3,,
Slovakia,3/14/2022,0-4,0,4,5,10,139,145
Slovakia,3/14/2022,5-9,5,9,0,0,138,145
Slovakia,3/14/2022,10-14,10,14,0,3,138,145
Slovakia,3/14/2022,15-19,15,19,1,4,128,135
Slovakia,3/14/2022,20-24,20,24,10,3,142,149
Slovakia,3/14/2022,25-29,25,29,8,0,178,187
Slovakia,3/14/2022,30-39,30,39,50,93,414,434
Slovakia,3/14/2022,40-49,40,49,160,305,421,440
Slovakia,3/14/2022,50-59,50,59,520,889,362,348
Slovakia,3/14/2022,60-64,60,64,629,1052,192,170
Slovakia,3/14/2022,65-69,65,69,937,1509,184,149
Slovakia,3/14/2022,70-74,70,74,1310,1767,138,99
Slovakia,3/14/2022,75-79,75,79,1503,1571,102,60
Slovakia,3/14/2022,80,80,999,3859,2435,125,55
Slovenia,3/21/2022,0-4,0,4,0,0,49,52
Slovenia,3/21/2022,5-9,5,9,0,0,53,56
Slovenia,3/21/2022,10-14,10,14,0,0,51,54
Slovenia,3/21/2022,15-19,15,19,0,0,45,47
Slovenia,3/21/2022,20-24,20,24,1,1,46,50
Slovenia,3/21/2022,25-29,25,29,3,0,53,56
Slovenia,3/21/2022,30-39,30,39,8,8,136,148
Slovenia,3/21/2022,40-49,40,49,25,49,145,161
Slovenia,3/21/2022,50-59,50,59,52,186,149,152
Slovenia,3/21/2022,60-64,60,64,89,208,73,73
Slovenia,3/21/2022,65-69,65,69,171,330,71,69
Slovenia,3/21/2022,70-74,70,74,242,477,52,45
Slovenia,3/21/2022,75-79,75,79,382,546,46,34
Slovenia,3/21/2022,80,80,999,2820,2003,76,38
South Africa,6/15/2022,0-4,0,4,179,205,2846,2919
South Africa,6/15/2022,5-9,5,9,30,33,2877,2943
South Africa,6/15/2022,10-14,10,14,66,70,2721,2775
South Africa,6/15/2022,15-19,15,19,158,136,2441,2472
South Africa,6/15/2022,20-24,20,24,353,271,2447,2477
South Africa,6/15/2022,25-29,25,29,760,524,2589,2629
South Africa,6/15/2022,30-34,30,34,1299,1115,2664,2710
South Africa,6/15/2022,35-39,35,39,1847,1750,2378,2404
South Africa,6/15/2022,40-44,40,44,2264,2339,1917,1893
South Africa,6/15/2022,45-49,45,49,3219,3431,1655,1578
South Africa,6/15/2022,50-54,50,54,4385,4553,1401,1291
South Africa,6/15/2022,55-59,55,59,6198,6223,1184,1036
South Africa,6/15/2022,60-64,60,64,6673,6890,990,804
South Africa,6/15/2022,65-69,65,69,6906,6484,785,585
South Africa,6/15/2022,70-74,70,74,6163,6002,536,359
South Africa,6/15/2022,75-79,75,79,4903,4586,368,213
South Africa,6/15/2022,80-84,80,84,4028,3160,203,96
South Africa,6/15/2022,85-89,85,89,2267,1661,75,28
South Africa,6/15/2022,90-94,90,94,1112,648,14,4
South Africa,6/15/2022,95,95,999,367,162,1,0
Spain,6/15/2022,0-9,0,9,9,17,2052,2182
Spain,6/15/2022,10-19,10,19,14,17,2295,2442
Spain,6/15/2022,20-29,20,29,69,84,2258,2359
Spain,6/15/2022,30-39,30,39,147,221,2950,2952
Spain,6/15/2022,40-49,40,49,439,777,3899,4039
Spain,6/15/2022,50-59,50,59,1317,2833,3533,3513
Spain,6/15/2022,60-69,60,69,3151,7660,2766,2574
Spain,6/15/2022,70-79,70,79,7698,15158,2187,1829
Spain,6/15/2022,80,80,999,35005,32380,1836,1088
Sudan,2/22/2021,0-4,0,4,2,0,3123,3216
Sudan,2/22/2021,5-9,5,9,0,0,2855,2934
Sudan,2/22/2021,10-14,10,14,2,4,2626,2696
Sudan,2/22/2021,15-19,15,19,1,2,2372,2429
Sudan,2/22/2021,20-24,20,24,3,13,2058,2101
Sudan,2/22/2021,25-29,25,29,8,6,1720,1748
Sudan,2/22/2021,30-34,30,34,7,13,1405,1394
Sudan,2/22/2021,35-39,35,39,6,15,1231,1173
Sudan,2/22/2021,40-44,40,44,8,17,1049,978
Sudan,2/22/2021,45-49,45,49,11,12,874,827
Sudan,2/22/2021,50-54,50,54,28,41,728,697
Sudan,2/22/2021,55-59,55,59,30,60,581,547
Sudan,2/22/2021,60-64,60,64,37,112,456,419
Sudan,2/22/2021,65-69,65,69,52,82,348,313
Sudan,2/22/2021,70-74,70,74,50,138,242,213
Sudan,2/22/2021,75-79,75,79,34,69,151,127
Sudan,2/22/2021,80,80,999,50,126,122,95
Sweden,3/14/2022,0-4,0,4,7,5,292,309
Sweden,3/14/2022,5-9,5,9,2,0,288,304
Sweden,3/14/2022,10-14,10,14,1,2,285,301
Sweden,3/14/2022,15-19,15,19,0,4,264,277
Sweden,3/14/2022,20-24,20,24,4,12,264,280
Sweden,3/14/2022,25-29,25,29,7,0,359,374
Sweden,3/14/2022,30-39,30,39,28,33,646,674
Sweden,3/14/2022,40-49,40,49,57,96,622,642
Sweden,3/14/2022,50-59,50,59,137,339,639,657
Sweden,3/14/2022,60-64,60,64,133,344,283,284
Sweden,3/14/2022,65-69,65,69,241,554,266,260
Sweden,3/14/2022,70-74,70,74,536,1031,289,275
Sweden,3/14/2022,75-79,75,79,956,1547,224,206
Sweden,3/14/2022,80,80,999,6127,5951,318,214
Switzerland,3/21/2022,0-4,0,4,1,4,221,231
Switzerland,3/21/2022,5-9,5,9,0,0,211,222
Switzerland,3/21/2022,10-14,10,14,1,0,200,210
Switzerland,3/21/2022,15-19,15,19,1,0,208,217
Switzerland,3/21/2022,20-24,20,24,0,2,238,246
Switzerland,3/21/2022,25-29,25,29,0,0,274,281
Switzerland,3/21/2022,30-39,30,39,11,12,606,614
Switzerland,3/21/2022,40-49,40,49,30,47,580,587
Switzerland,3/21/2022,50-59,50,59,106,223,654,666
Switzerland,3/21/2022,60-64,60,64,105,252,265,270
Switzerland,3/21/2022,65-69,65,69,179,447,226,216
Switzerland,3/21/2022,70-74,70,74,323,719,220,202
Switzerland,3/21/2022,75-79,75,79,587,1087,179,152
Switzerland,3/21/2022,80,80,999,4912,4504,280,179
Trinidad and Tobago,12/20/2021,0-4,0,4,1,0,43,45
Trinidad and Tobago,12/20/2021,5-9,5,9,0,2,47,49
Trinidad and Tobago,12/20/2021,10-14,10,14,3,1,47,49
Trinidad and Tobago,12/20/2021,15-19,15,19,4,2,44,45
Trinidad and Tobago,12/20/2021,20-24,20,24,4,6,42,43
Trinidad and Tobago,12/20/2021,25-29,25,29,15,13,48,49
Trinidad and Tobago,12/20/2021,30-34,30,34,20,33,58,59
Trinidad and Tobago,12/20/2021,35-39,35,39,33,37,63,63
Trinidad and Tobago,12/20/2021,40-44,40,44,39,65,51,50
Trinidad and Tobago,12/20/2021,45-49,45,49,56,85,46,45
Trinidad and Tobago,12/20/2021,50-54,50,54,85,106,42,40
Trinidad and Tobago,12/20/2021,55-59,55,59,108,141,48,45
Trinidad and Tobago,12/20/2021,60-64,60,64,107,190,39,37
Trinidad and Tobago,12/20/2021,65-69,65,69,118,174,32,29
Trinidad and Tobago,12/20/2021,70-74,70,74,129,179,24,20
Trinidad and Tobago,12/20/2021,75-79,75,79,99,151,17,13
Trinidad and Tobago,12/20/2021,80,80,999,208,213,17,11
Tunisia,12/14/2020,0-4,0,4,4,6,489,515
Tunisia,12/14/2020,5-9,5,9,1,6,492,522
Tunisia,12/14/2020,10-14,10,14,2,14,411,442
Tunisia,12/14/2020,15-19,15,19,13,22,378,409
Tunisia,12/14/2020,20-24,20,24,14,20,395,426
Tunisia,12/14/2020,25-29,25,29,22,45,447,457
Tunisia,12/14/2020,30-34,30,34,35,57,479,449
Tunisia,12/14/2020,35-39,35,39,21,57,501,485
Tunisia,12/14/2020,40-44,40,44,31,56,439,408
Tunisia,12/14/2020,45-49,45,49,22,55,373,352
Tunisia,12/14/2020,50-54,50,54,25,52,372,340
Tunisia,12/14/2020,55-59,55,59,32,61,329,321
Tunisia,12/14/2020,60-64,60,64,28,77,275,264
Tunisia,12/14/2020,65-69,65,69,28,77,222,202
Tunisia,12/14/2020,70-74,70,74,31,68,138,112
Tunisia,12/14/2020,75-79,75,79,29,49,97,77
Tunisia,12/14/2020,80,80,999,62,92,120,80
Turkey,3/7/2022,0-4,0,4,0,0,3210,3357
Turkey,3/7/2022,5-9,5,9,0,0,3349,3503
Turkey,3/7/2022,10-14,10,14,0,0,3311,3462
Turkey,3/7/2022,15-19,15,19,40,56,3333,3489
Turkey,3/7/2022,20-24,20,24,96,97,3321,3449
Turkey,3/7/2022,25-29,25,29,173,0,3159,3245
Turkey,3/7/2022,30-39,30,39,591,705,6368,6407
Turkey,3/7/2022,40-49,40,49,1411,1957,5808,5639
Turkey,3/7/2022,50-59,50,59,3640,5686,4603,4305
Turkey,3/7/2022,60-64,60,64,2961,5153,1865,1581
Turkey,3/7/2022,65-69,65,69,4235,6368,1534,1213
Turkey,3/7/2022,70-74,70,74,5365,7365,1109,862
Turkey,3/7/2022,75-79,75,79,5929,7564,799,584
Turkey,3/7/2022,80,80,999,14192,14933,934,541
Turks and Caicos,3/7/2022,0-4,0,4,0,1,,
Turks and Caicos,3/7/2022,5-9,5,9,0,0,,
Turks and Caicos,3/7/2022,10-14,10,14,0,0,,
Turks and Caicos,3/7/2022,15-19,15,19,1,2,,
Turks and Caicos,3/7/2022,20-24,20,24,1,0,,
Turks and Caicos,3/7/2022,25-29,25,29,0,0,,
Turks and Caicos,3/7/2022,30-34,30,34,0,0,,
Turks and Caicos,3/7/2022,35-39,35,39,0,1,,
Turks and Caicos,3/7/2022,40-44,40,44,0,1,,
Turks and Caicos,3/7/2022,45-49,45,49,1,2,,
Turks and Caicos,3/7/2022,50-54,50,54,3,2,,
Turks and Caicos,3/7/2022,55-59,55,59,4,0,,
Turks and Caicos,3/7/2022,60-64,60,64,0,2,,
Turks and Caicos,3/7/2022,65-69,65,69,1,2,,
Turks and Caicos,3/7/2022,70-74,70,74,1,2,,
Turks and Caicos,3/7/2022,75-79,75,79,1,1,,
Turks and Caicos,3/7/2022,80,80,999,4,1,,
USA,6/10/2022,0-9,0,9,337,373,19420,20301
USA,6/10/2022,10-19,10,19,550,687,20721,21612
USA,6/10/2022,20-29,20,29,2214,3328,22627,23467
USA,6/10/2022,30-39,30,39,5838,9233,22107,22561
USA,6/10/2022,40-49,40,49,12997,21648,20261,20088
USA,6/10/2022,50-59,50,59,30066,51777,21098,21022
USA,6/10/2022,60-69,60,69,62303,95474,19973,18515
USA,6/10/2022,70-79,70,79,89767,124575,13110,10973
USA,6/10/2022,80,80,999,175554,157898,7900,5247
Uganda,4/4/2022,10-19,10,19,1,2,5693,5756
Uganda,4/4/2022,20-29,20,29,8,9,4036,3837
Uganda,4/4/2022,30-39,30,39,13,23,2658,2443
Uganda,4/4/2022,40-49,40,49,12,43,1625,1508
Uganda,4/4/2022,50-59,50,59,16,47,967,885
Uganda,4/4/2022,60-69,60,69,25,67,547,427
Uganda,4/4/2022,70-79,70,79,19,41,251,161
Uganda,4/4/2022,80-89,80,89,17,17,58,28
Uganda,4/4/2022,90-99,90,99,1,3,3,1
Ukraine,4/12/2022,0-4,0,4,12,17,1026,1088
Ukraine,4/12/2022,5-9,5,9,7,0,1201,1275
Ukraine,4/12/2022,10-14,10,14,9,9,1166,1237
Ukraine,4/12/2022,15-19,15,19,20,22,959,1021
Ukraine,4/12/2022,20-24,20,24,75,51,1045,1101
Ukraine,4/12/2022,25-29,25,29,111,0,1344,1409
Ukraine,4/12/2022,30-39,30,39,618,923,3555,3654
Ukraine,4/12/2022,40-49,40,49,1865,2332,3306,3101
Ukraine,4/12/2022,50-59,50,59,5560,5771,3228,2679
Ukraine,4/12/2022,60-64,60,64,6734,5987,1702,1226
Ukraine,4/12/2022,65-69,65,69,9053,7704,1613,999
Ukraine,4/12/2022,70-74,70,74,11145,9180,1136,633
Ukraine,4/12/2022,75-79,75,79,7590,6119,838,377
Ukraine,4/12/2022,80,80,999,14879,10665,1353,464
Venezuela,3/14/2022,0-4,0,4,0,1,1161,1203
Venezuela,3/14/2022,5-9,5,9,0,0,1336,1395
Venezuela,3/14/2022,10-14,10,14,1,1,1298,1360
Venezuela,3/14/2022,15-19,15,19,1,2,1226,1275
Venezuela,3/14/2022,20-24,20,24,2,0,1047,1055
Venezuela,3/14/2022,25-29,25,29,2,4,1025,1003
Venezuela,3/14/2022,30-34,30,34,6,3,1056,1008
Venezuela,3/14/2022,35-39,35,39,7,16,1011,953
Venezuela,3/14/2022,40-44,40,44,4,16,964,904
Venezuela,3/14/2022,45-49,45,49,9,17,875,822
Venezuela,3/14/2022,50-54,50,54,11,28,827,773
Venezuela,3/14/2022,55-59,55,59,21,46,738,677
Venezuela,3/14/2022,60-64,60,64,21,40,620,557
Venezuela,3/14/2022,65-69,65,69,24,43,462,404
Venezuela,3/14/2022,70-74,70,74,42,56,330,274
Venezuela,3/14/2022,75-79,75,79,35,43,218,168
Venezuela,3/14/2022,80,80,999,50,49,258,155
Vietnam,8/8/2021,0-9,0,9,0,0,7309,8140
Vietnam,8/8/2021,10-19,10,19,0,0,6500,7004
Vietnam,8/8/2021,20-29,20,29,4,1,7526,8114
Vietnam,8/8/2021,30-39,30,39,4,2,8006,8077
Vietnam,8/8/2021,40-49,40,49,1,0,6781,6699
Vietnam,8/8/2021,50-59,50,59,8,7,5672,5332
Vietnam,8/8/2021,60-69,60,69,14,14,3991,3150
Vietnam,8/8/2021,70-79,70,79,5,5,1691,1028
Vietnam,8/8/2021,80-89,80,89,11,7,979,498
Vietnam,8/8/2021,90,90,999,2,1,286,111
Wales,6/16/2022,15-44,15,44,,57,563,581
Wales,6/16/2022,45-64,45,64,413,612,426,403
Wales,6/16/2022,65-74,65,74,650,1064,187,175
Wales,6/16/2022,75-84,75,84,1349,1971,120,102
Wales,6/16/2022,85,85,999,2244,1823,53,32
